GISJOIN,Date of Post,Date of Incident,Time of Post,Time of Incident,Area,Abscissa (x),Ordinate (y),Khodor,Ahmad,GS,Folder Source,URL Source,,Platform,Format
,2024-06-06,2024-06-06,12:20:00,12:20:00,Abbassiye,,,Yes,,,20240606_1220_galpalpheebs_1,https://twitter.com/galpalpheebs/status/1798646253506752684,Live,Twitter,jpg
,2024-06-06,2024-06-06,12:20:00,12:20:00,Abbassiye,,,Yes,,,20240606_1220_galpalpheebs_2,,Live,Twitter,jpg
,2024-06-06,2024-06-06,12:39:00,12:39:00,Abbassiye,,,Yes,,,20240606_1239_ahdonaeng,https://twitter.com/ahdonaeng/status/1798650865886339520,Live,Twitter,mp4
,2024-06-08,2024-06-08,,2:00:00 PM,Meiss El Jabal,,,Yes,,,"20240608_GS
20240608_GS_1
20240608_GS_2",Green Southerners,Live,Green Southerners,jpg
,2024-06-09,2024-06-09,12:06:00,12:06:00,Rachaiya El Foukhar,,,Yes,,,20240609_1206_outpostosint,https://twitter.com/outpostosint/status/1799729817744732406,Live,Twitter,jpg
,2024-06-12,2024-06-12,11:54:00,11:54:00,Aadaisse,,,Yes,,,20240612_1154_galpalpheebs,https://x.com/galpalpheebs/status/1800813800490512432,Live,Twitter,jpg
,2024-06-12,2024-06-12,13:48:00,13:48:00,Halta,,,Yes,,,"20240612_1348_galpalpheebs_1
20240612_1348_galpalpheebs_2",https://x.com/galpalpheebs/status/1800842562682646790,Live,Twitter,jpg
,2024-06-13,2024-06-13,16:07:00,16:07:00,Yohmor,,,Yes,,,20240613_1607_galpalpheebs,https://x.com/galpalpheebs/status/1801239891822498203,Live,Twitter,jpg
,2024-06-13,2024-06-13,16:07:00,16:07:00,Deir Sirian,,,Yes,,,20240613_1607_galpalpheebs,https://x.com/galpalpheebs/status/1801239891822498203,Live,Twitter,jpg
,2024-06-14,2024-06-14,15:34:00,15:34:00,Houla,,,Yes,,,20240614_1534_galpalpheebs,https://x.com/galpalpheebs/status/1801594105111179668,Live,Twitter,jpg
,2024-06-21,2024-06-21,16:08:00,16:08:00,South Lebanon,,,Yes,,,20240621_1608_TaghridAlMawed,https://x.com/TaghridAlMawed/status/1804139428199211016,Live,Twitter,jpg
,2024-06-21,2024-06-21,16:08:00,16:08:00,South Lebanon,,,Yes,,,20240621_1608_TaghridAlMawed,https://x.com/TaghridAlMawed/status/1804139428199211016,Live,Twitter,jpg
,2024-06-22,2024-06-22,15:22:00,15:22:00,Houla,,,Yes,,,20240622_1522_QudsNen,https://x.com/QudsNen/status/1804490216545137150,Live,Twitter,mp4
,2024-06-22,2024-06-22,19:21:00,19:21:00,Kfar Kila,,,Yes,,,20240622_1921_galpalpheebs,https://x.com/galpalpheebs/status/1804550317582737430,Live,Twitter,jpg
,2024-06-22,2024-06-22,19:21:00,19:21:00,Kfar Kila,,,Yes,,,20240622_1921_galpalpheebs,https://x.com/galpalpheebs/status/1804550317582737430,Live,Twitter,jpg
,2024-06-23,2024-06-23,17:48:00,17:48:00,Rachaiya El Foukhar,,,Yes,,,20240623_1748_galpalpheebs,https://x.com/galpalpheebs/status/1804889305728356828,Live,Twitter,jpg
,2024-06-23,2024-06-23,17:48:00,17:48:00,Rachaiya El Foukhar,,,Yes,,,20240623_1748_galpalpheebs,https://x.com/galpalpheebs/status/1804889305728356828,Live,Twitter,jpg
,2024-06-23,2024-06-23,21:26:00,21:26:00,Al Khiam,,,Yes,,,20240623_2126_galpalpheebs,https://x.com/galpalpheebs/status/1804944095242047584,Live,Twitter,jpg
,2024-06-23,2024-06-23,21:26:00,21:26:00,Al Khiam,,,Yes,,,20240623_2126_galpalpheebs,https://x.com/galpalpheebs/status/1804944095242047584,Live,Twitter,jpg
,2024-06-23,2024-06-23,22:09:00,21:26:00,Kfar Kila,,,Yes,,,"20240623_2209_QudsNen_1
20240623_2209_QudsNen_2",https://x.com/QudsNen/status/1804955065427653005,Live,Twitter,jpg
,2024-06-23,2024-06-23,22:09:00,21:26:00,Al Khiam,,,Yes,,,"20240623_2209_QudsNen_1
20240623_2209_QudsNen_2",https://x.com/QudsNen/status/1804955065427653005,Live,Twitter,jpg
,2024-06-23,2024-06-23,22:39:00,21:26:00,Kfar Kila,,,Yes,,,20240623_2239_fouadkhreiss,https://x.com/fouadkhreiss/status/1804962457372311683,Live,Twitter,mp4
,2024-06-24,2024-06-23,0:33:00,21:26:00,Kfar Kila,,,Yes,,,"20240624_0033_warfareanalysis_1
20240624_0033_warfareanalysis_2",https://x.com/warfareanalysis/status/1804991158025850955,Live,Twitter,jpg
,2024-06-24,2024-06-23,0:33:00,21:26:00,Al Khiam,,,Yes,,,20240624_0033_warfareanalysis_3,https://x.com/warfareanalysis/status/1804991158025850955,Live,Twitter,jpg
,2024-06-24,2024-06-23,0:33:00,21:26:00,Al Khiam,,,Yes,,,20240624_0033_warfareanalysis_4,https://x.com/warfareanalysis/status/1804991158025850955,Live,Twitter,jpg
,2024-07-02,2024-07-02,19:01:00,19:01:00,Houla,,,Yes,,,20240702_1901_akhbaralyawm,https://x.com/akhbaralyawm/status/1808169112033464475,Live,Twitter,jpg
,2024-07-04,2024-07-04,,2:00:00 PM,Aadaisse,,,Yes,,,"20240704 Odaisseh العديسة
20240704 Odaisseh العديسة(1)
20240704 Odaisseh العديسة WP",Green Southerners,Live,Green Southerners,mp4
,2024-07-04,2024-07-04,,2:00:00 PM,Aadaisse,,,Yes,,,"20240704 Odaisseh العديسة
20240704 Odaisseh العديسة(1)
20240704 Odaisseh العديسة(2)",Green Southerners,Live,Green Southerners,jpg
,2024-07-05,2024-07-05,22:25:00,22:25:00,Houla,,,Yes,,,20240705_2225_galpalpheebs,https://x.com/galpalpheebs/status/1809307713144557596,Live,Twitter,mp4
,2024-07-05,2024-07-05,22:25:00,22:25:00,Houla,,,Yes,,,20240705_2225_galpalpheebs,https://x.com/galpalpheebs/status/1809307713144557596,Live,Twitter,mp4
,2024-07-10,2024-07-10,16:07:00,16:07:00,Taybeh,,,Yes,,,20240710_1607_galpalpheebs,https://x.com/galpalpheebs/status/1811024368522117498,Live,Twitter,jpg
,2024-07-12,2024-07-12,19:21:00,19:21:00,Kfar Kila,,,Yes,,,20240712_1921_qudsn,https://x.com/qudsn/status/1811798055030608299,Live,Twitter,mp4
,2024-07-12,2024-07-12,19:21:00,19:21:00,Kfar Kila,,,Yes,,,20240712_1921_qudsn,https://x.com/qudsn/status/1811798055030608299,Live,Twitter,mp4
,2024-07-12,2024-07-12,,2:00:00 PM,Blida,,,Yes,,,"20240712 Blida-بليدا
20240712Blida-Muhibibبليدا - محيبيب",Green Southerners,Not Live,Green Southerners,jpg
,,2024-07-12,,2:00:00 PM,Mhaibib,,,Yes,,,20240712Blida-Muhibibبليدا - محيبيب,Green Southerners,Not Live,Green Southerners,jpg
,2024-07-13,2024-07-13,5:17:00,5:17:00,South Lebanon,,,Yes,,,20240713_0517_AssedBaig,https://x.com/AssedBaig/status/1811947942724481056,Live,Twitter,mp4
,2024-07-20,2024-07-20,14:00:00,14:00:00,Houla,,,Yes,,,"20240720 Houla حولا WP
20240720 Houla حولا WP(1)
20240720 Houla حولا WP(2)
20240720 Houla حولا WP(3)
20240720 Houla حولا WP(4)
20240720 Houla حولا WP(5)
20240720 Houla حولا WP(6)
20240720 Houla حولا WP(7)",Green Southerners,Not Live,Green Southerners,jpg
,2024-07-20,2024-07-20,14:00:00,14:00:00,Houla,,,Yes,,,20240720 Houla حولا WP,Green Southerners,Not Live,Green Southerners,mp4
